sr no ,scheme_id,scheme_name,level,state,department,short_description,gender,min_age,max_age,category,income_ceiling_annual,occupation,business_type,disability_status,other_conditions,benefits_summary,application_process_summary,documents_required,last_verified_date,source_links,verification_status,tier,notes
46,,Auto Driver Sevalo Scheme (formerly YSR Vahana Mitra),State,Andhra Pradesh,"Transport, Roads and Buildings Department, Government of Andhra Pradesh","Annual financial assistance to self-owned auto-rickshaw, taxi and maxi-cab drivers in Andhra Pradesh to help meet vehicle maintenance, insurance and fitness-related expenses, supporting their self-employed livelihood.",Any,Not Specified,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Auto/Taxi/Maxi-Cab Driver,"Passenger transport (auto-rickshaw, taxi, maxi-cab)",Not Specified,"Applicant must be a permanent resident of Andhra Pradesh, own and personally drive the vehicle (auto-rickshaw, taxi or maxi-cab), hold a valid driving licence, registration certificate and (for cabs) tax receipt, and belong to the Below Poverty Line / white ration card category. Only one vehicle per family is eligible; government employees/pensioners (other than sanitation workers) and beneficiaries of other occupational-group schemes are excluded.","Annual financial assistance of ₹10,000 per beneficiary was provided under the scheme when it was known as YSR Vahana Mitra (2019-2024); more recent reporting indicates the scheme has been renamed the 'AP Auto Driver Sevalo Scheme' under the current state government, with the annual amount reported as ₹15,000.","Applicants apply online through the state's beneficiary management portal (previously the Navasakam Beneficiary Management Portal) using Aadhaar-based OTP verification, or through village/ward volunteers.",Aadhaar Card; White Ration Card; Driving Licence; Vehicle Registration Certificate; Pollution Certificate; Bank Account Details; Caste Certificate (if applicable).,29-08-2026,https://cleartax.in/s/ysr-vahana-mitra / https://schemesinindia.in/schemes/andhra-pradesh,Needs Review,Tier 3,"This scheme was rebranded after the June 2024 change of government in Andhra Pradesh (from YSRCP to the TDP-led NDA coalition), which renamed several 'YSR'/'Jagananna'-prefixed welfare schemes; sources conflict on whether the current benefit amount is ₹10,000 or ₹15,000 per year. Verify the current scheme name, portal and benefit amount against an official Andhra Pradesh government source before production use."
47,,Zero Interest Loan Scheme for Women SHGs (Sunna Vaddi),State,Andhra Pradesh,"Society for Elimination of Rural Poverty (SERP) / Mission for Elimination of Poverty in Municipal Areas (MEPMA), Government of Andhra Pradesh","Interest reimbursement scheme for women Self-Help Group (SHG) members in Andhra Pradesh, under which the state government pays the bank interest on SHG loans repaid on schedule, effectively making the loan interest-free to the borrower.",Female,Not Specified,Not Specified,Not Specified,Not Specified,Self-Help Group member,Any SHG-financed income-generating activity,Not Specified,"Applicant must be a woman member of a registered Self-Help Group (rural, via SERP, or urban, via MEPMA) in Andhra Pradesh with an outstanding bank loan account (historically up to ₹5 lakh eligible; interest reimbursement was reported as applicable up to ₹3 lakh of loan balance in a more recent year). SHG loan accounts declared NPA (Non-Performing Asset) as of the specified cut-off date are not eligible. The SHG must have repaid at least a minimum percentage of the outstanding loan balance each month to remain eligible for that month's zero-interest benefit.","The government reimburses the interest paid by eligible SHG women on their bank loans directly into their bank accounts, effectively providing the loan at zero net interest, provided repayment instalments are made on schedule.","Beneficiaries are identified through SERP (rural) / MEPMA (urban) records and village/ward volunteer-led surveys; no separate loan application is needed beyond being a member of an eligible, regularly-repaying SHG.",Proof of SHG membership; Aadhaar Card; Bank Account Details; Residence Proof.,29-08-2026,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-andhra-pradesh/ysr-sunna-vaddi-pathakam / https://schemesinindia.in/schemes/andhra-pradesh,Needs Review,Tier 3,"This scheme was launched and popularly known as 'YSR Sunna Vaddi' under the previous government; one 2026-dated secondary source still uses this name in the context of crop loans for farmers, suggesting the SHG-focused version and a separate farm-loan version may both exist or the branding may vary by use-case. Verify the current official name, eligibility loan-balance ceiling (₹3 lakh vs ₹5 lakh cited in different sources) and administering scheme name under the current Andhra Pradesh government before production use."
48,,Kapu Swayam Upadhi (Economic Assistance) Scheme,State,Andhra Pradesh,"Andhra Pradesh State Kapu Welfare and Development Corporation Limited / EWS Welfare Department, Government of Andhra Pradesh","Economic assistance scheme for economically weaker persons from the Kapu, Balija, Telaga and Ontari communities in Andhra Pradesh to take up self-employment activities.",Any,21,45,Not Specified,Not Specified,Self-Employed / Entrepreneur,Not Specified,Not Specified,"Applicant must belong to the Kapu, Balija, Telaga or Ontari community and be aged between 21 and 45 years, and be economically weaker / living below the poverty line.","Financial assistance (subsidy loan) of up to ₹2 lakh per beneficiary to take up various self-employment works, under programmes including 'Chandranna Swayam Upadhi' and a Group MSME programme; a 50% subsidy component on business loans has also been described for related OBMMS-administered schemes.","Applicants register and apply online through the AP Kapu Welfare and Development Corporation portal (kapuwelfare.apcfss.in) or the state's AP OBMMS portal (apobmms.cgg.gov.in), selecting the Kapu category.",Aadhaar Card; PAN Card; Voter ID / Driving Licence; Income Certificate; Caste Certificate; Bank Account Passbook; Residence Proof; Birth Certificate.,29-08-2026,https://teachernews.in/ap-kapu-scheme-loan-online-application/ / https://kapuwelfare.apcfss.in/,Needs Review,Tier 3,"Loan amount and sub-scheme names (Chandranna Swayam Upadhi, Group MSME Program) reflect naming under the current government as of the source's 2025 publication date; scheme branding for Kapu welfare programmes has changed with changes in government in the past, so current terms should be verified against the official Kapu Welfare Corporation portal."
49,,EWS Certificate-Linked Reservation Benefits,Central/State,Andhra Pradesh,"Andhra Pradesh State Economically Backward Classes Welfare and Development Corporation / Department of Economically Weaker Sections (EWS) Welfare, Government of Andhra Pradesh","10% reservation in government jobs and educational admissions for Economically Weaker Sections (EWS) of the General/Open Category in Andhra Pradesh, under the Constitution (103rd Amendment) Act, 2019, evidenced by an EWS Certificate.",Any,Not Specified,Not Specified,GENERAL,800000,Not Specified,Not Applicable,Not Specified,"Applicant must belong to the General (Open) Category, i.e., not otherwise covered under existing SC/ST/OBC reservation. Eligibility follows the Central Government's EWS criteria (gross annual family income below ₹8 lakh, along with land and property-holding limits), as adopted by Andhra Pradesh per its 2019-21 Government Orders implementing the 103rd Constitutional Amendment.","Provides a 10% reservation quota in admissions to educational institutions and in initial recruitment to posts and services under the Andhra Pradesh state government, mirroring the reservation structure earlier used for the Kapu community's EWS-based benefits.",Applicants apply for the EWS Certificate through the MeeSeva portal or local Revenue (Tahsildar) office by submitting income and asset details; the certificate is then used to claim reservation benefits in the relevant application (education or employment).,Aadhaar Card; Income Certificate; Asset/property declaration documents; Residence/Domicile proof; Passport-size photograph; self-attested affidavit.,29-08-2026,https://aphc.gov.in/docs/6609092021.pdf / https://beincareer.com/ews-certificate-ap-telangana-2026/,Needs Review,Tier 3,"This is a reservation-benefit mechanism rather than a direct cash loan/subsidy scheme, distinct in nature from other rows in this sheet; included here as it is a significant AP welfare provision relevant to Economically Weaker Sections. The ₹8 lakh income ceiling reflects the Central Government's EWS criteria as replicated by AP; some secondary sources cite a much lower historical AP-specific threshold (e.g., ₹60,000, used for a different, older 'weaker section' definition in education) — the ₹8 lakh figure is the current EWS (103rd Amendment) threshold and should not be confused with that older, unrelated definition."
50,,Novel Welfare Self-Employment Scheme (SC Corporation),State,Andhra Pradesh,"Andhra Pradesh Scheduled Castes Cooperative Finance Corporation (APSCCFC) / Social Welfare Department, Government of Andhra Pradesh","Sector-specific novel welfare self-employment schemes for Scheduled Caste beneficiaries in Andhra Pradesh, such as providing four-wheeler mini-truck mobile dispensing units for door-delivery of rice and essential commodities under the Public Distribution System (PDS).",Any,Not Specified,Not Specified,SC,Not Specified,Self-Employed,PDS door-delivery mobile dispensing unit (four-wheeler mini truck),Not Specified,"Applicant must belong to Scheduled Caste and be selected for the specific novel welfare unit (e.g., PDS mobile dispensing unit) under the District SC Cooperative Society's action plan for the relevant financial year.","Provision of a four-wheeler mini-truck mobile dispensing unit with a unit cost of approximately ₹5,81,190 for sustainable livelihood and door-delivery of rice and other essential commodities to ration card holders under the Public Distribution System.","Applicants apply through the District SC Cooperative Society, which selects beneficiaries as part of its annual welfare self-employment action plan.",Not Specified,29-08-2026,https://krishna.ap.gov.in/sc-corporation/,Verified,Tier 3,"This is one specific, narrowly-targeted novel scheme cited on an official district page rather than a broad, ongoing state-wide scheme; the number of units and continuation of this specific scheme in the current financial year should be verified against the latest SCAP (SC Action Plan) before production use."
51,,Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance.,State,Sikkim,"Commerce & Industries Department, Government of Sikkim",A state entrepreneurship scheme providing bank-linked loans with back-ended capital subsidy assistance to educated unemployed youth of Sikkim for establishing viable self-employment and business ventures.,Any,18,45,GENERAL,800000,800000,Manufacturing; Service; Business; Agriculture & Allied Activities; Food Processing; Tourism; Retail; Handloom & Handicrafts,Not Specified,"Applicant must be a permanent resident of Sikkim and possess a Certificate of Identification (COI), Sikkim Subject Certificate or Residential Certificate for urban areas. Applicant must be unemployed and have passed at least Class V. Only one member of a family can avail benefits under the scheme. Family income should not exceed ₹8 lakh per annum. Applicants for technical projects/manufacturing/service activities must possess the relevant technical qualification/certificate. Applicant must not be a defaulter with State Bank of Sikkim or other banks. Persons who have already received subsidy under CMSS or PMEGP are not eligible. Government employee eligibility is restricted as specified in the scheme guidelines.","Bank loan assistance is provided with back-ended capital subsidy. Subsidy is 50% of project cost for eligible BPL applicants and 35% for other eligible applicants, subject to the scheme's prescribed limits. The applicant contributes the prescribed portion of project cost and the remaining amount is financed through a bank loan. Entrepreneur Development Training is also provided to selected applicants.",Applicant submits the prescribed application form with the required documents and project report to the concerned District Industries Centre/Commerce & Industries Department. Applications are scrutinized by the designated selection committee. Approved projects are forwarded to the concerned bank for loan sanction. Selected applicants undergo the prescribed entrepreneur development training before disbursement.,Passport-size photographs; Sikkim Subject Certificate/Certificate of Identification/Residential Certificate; Educational certificates and mark sheets; Birth certificate/age proof; Project Report/DPR; Voter Card/address proof; Valid Unemployment Card; Land Parcha and Land Lease Agreement where applicable; Required permits/licences; BPL Certificate where applicable; Income Certificate; NOC from SABCO/SIDICO where applicable.,29-08-2026,https://industries.sikkim.gov.in/ https://www.sikkim.gov.in/,Verified,Tier 1,"State-specific entrepreneurship scheme for Sikkim youth. Scheme launched with effect from 15 August 2020. Applicant age must be 18–45 years, applicant must be unemployed, and minimum educational qualification is Class V. Annual family income ceiling is ₹8 lakh. Subsidy is generally 35% for eligible applicants and 50% for BPL applicants; current Sikkim government material also specifically mentions 50% subsidy for PwD entrepreneurs. Disability is therefore not marked as a general eligibility requirement. Only one member of a family can avail the scheme. The scheme supports multiple sectors including manufacturing, services, business, agriculture and allied activities, food processing, tourism, retail and handicrafts. Exact project-cost limits vary by activity."
52,,Krishak Bakri Palan Yojna,State,himachal pradesh,"Department of Animal Husbandry, Government of Himachal Pradesh",A Himachal Pradesh government scheme providing goat units at 60% subsidy to eligible goat farmers to improve income-generation opportunities and increase meat production.,Any,Not Specified,Not Specified,General,200000,Farmer,Goat Farming; Animal Husbandry; Livestock,Not Specified,"Applicant must be a farmer/goat farmer belonging to Himachal Pradesh. Farmers from all categories including General, SC, ST, BPL, women and landless persons are eligible. Training/awareness in goat husbandry is mandatory. Preference is given to unemployed SC/ST/women/general-category persons, families with no government employee, persons with annual income not exceeding ₹2 lakh, and persons who have constructed their own goat shed or a shed under MGNREGA. The beneficiary must undertake not to sell the allotted goat units for at least two years.","Eligible beneficiaries receive goat units of 11 goats (10 female + 1 male), 5 goats (4 female + 1 male), or 3 goats (2 female + 1 male) at 60% subsidy. Insurance and feed/fodder support are also provided for goats during the last trimester of pregnancy.","Applications are collected through Veterinary Officers, who verify eligibility. After verification, applications are forwarded through the concerned Senior Veterinary Officer to the Deputy Director of Animal Husbandry. Beneficiaries are selected on a first-come-first-served basis, after which goat units are procured and distributed.",Aadhaar; Bank Passbook; Income Certificate; Landless Certificate where applicable; Unemployment Certificate where applicable; BPL Certificate where applicable; Goat Husbandry Training Certificate; Caste Certificate where applicable for SC/ST applicants.,29-08-2026,https://hpahdbt.hp.gov.in/Home/krishk_bakri_pala_yojna https://hpahdbt.hp.gov.in/Home/registrationformbakripalan,Verified,Tier 1,"State-specific Himachal Pradesh scheme implemented by the Department of Animal Husbandry. The ₹2 lakh annual income figure is a preference criterion, not a universal income ceiling. Preference is given to applicants with annual income not exceeding ₹2 lakh. The scheme is open to farmers of all categories, including General, SC, ST, BPL, women and landless persons. At least 30% of beneficiaries should be women. Goat units are provided at 60% subsidy. Official Himachal Pradesh sources confirm the scheme is currently listed and provide an online application facility."
53,,Kerala Employment Department Self Employment Shceme for unemployed women registered in living registry,State,Kerala,"Employment Department, Government of Kerala","A self-employment scheme for economically and socially vulnerable unemployed women in Kerala, providing interest-free loans with government subsidy for starting self-employment ventures.",Female,18,55,Not Specified,100000,Entrepreneur,Self-Employment Venture,Not Specified,"For unemployed women registered in the live Register of Employment Exchanges: widows, divorced women, deserted women, spinsters above 30 years, and unmarried mothers belonging to Scheduled Tribes. The scheme also covers differently abled women and wives of bedridden patients as specified in the scheme. Spinsters must be above 30 years. Annual family income must not exceed ₹1 lakh. Preference is given to applicants with professional or technical qualifications. Required marital/status conditions must be supported by certificates from the prescribed authority","Interest-free loan up to ₹50,000 for starting self-employment ventures. 50% of the loan is reimbursed as government subsidy, subject to a maximum subsidy of ₹25,000. Repayment is through 60 equal monthly instalments. For ventures requiring more than ₹50,000, the beneficiary contributes 10% and pays 3% flat interest on the amount exceeding ₹50,000. After repayment of at least 50% of the original loan and successful operation of the venture, an additional loan of up to 80% of the original loan amount may be available at nominal interest. No security is required.",Application forms are available free of cost from the Employment Exchange where the applicant is registered. The application is submitted there along with the detailed project report and income certificate. The Employment Exchange verifies the application and forwards it through the concerned District Employment Exchange. Scrutinised applications are placed before the District Committee for Saranya for sanction. The sanctioned loan is directly transferred to the applicant's bank account by the Employment Department.,"Detailed Project Report; Income Certificate from Village Officer; Community Certificate where applicable; Certificate proving marital/status eligibility as applicable; Employment Exchange registration/live Register status; relevant certificates for widowhood, divorce, desertion, unmarried motherhood, disability or wife of bedridden patient as applicable.",29-08-2026,https://employment.kerala.gov.in/wp-content/uploads/2020/12/Saranya-scheme-Guidelines.pdf https://employment.kerala.gov.in/wp-content/uploads/2020/12/Saranya-Form.pdf,Verified,Tier 1,"Kerala State Government scheme sanctioned vide GO(P) No.81/2010/Labour dated 24-07-2010. Annual family income ceiling is ₹1 lakh. The general age range is 18–55 years, while the source specifically requires spinsters to be above 30 years. Target beneficiaries include unemployed widows, divorced women, deserted women, spinsters above 30, and unmarried mothers belonging to Scheduled Tribes, along with differently abled women and wives of bedridden patients as specified by the scheme. Loan is interest-free up to ₹50,000, with 50% government subsidy subject to a maximum of ₹25,000. Applications are made through the Employment Exchange where the applicant is registered."
54,,Motivation of Unemployed Persons To Start Self-Employed Enterprises Scheme (MUPSES),State,Puducherry,"District Industries Centre, Government of Puducherry",A Puducherry Government scheme to encourage unemployed persons to start self-employment enterprises in manufacturing and service sectors through bank/financial-institution finance with project-cost subsidy,Any,Not Specified,Not Specified,General,Not Specified,Entrepreneur,Manufacturing; Service; Self-Employment,Not Specified,"Applicant must be a resident of the Union Territory of Puducherry. Applicant must be unemployed. Educational qualification is the ability to read and write. Age eligibility is as per existing Bank norms. Eligible activities include services, industrial activities and self-employment manufacturing/service units such as mechanized laundry, beauty parlour/salon, tailoring units and hygienic tea/coffee stalls.","Project cost up to ₹2,00,000 can be financed through Banks/Financial Institutions. For Puducherry District including Mahe and Yanam, subsidy is 50% of project cost excluding pre-operative and preliminary expenses for projects up to ₹50,000. For project cost above ₹50,000 and below ₹2,00,000, subsidy is 35% of project cost excluding pre-operative and preliminary expenses, subject to a maximum subsidy of ₹35,000.",The beneficiary has to approach the concerned District Industries Centre/Technical Officer for further details and complete the formalities required by the Banks. Loan disbursement takes place after completion of the required bank formalities.,Not Specified,29-08-2026,https://yanam.gov.in/scheme/scheme-mupses/,Verified,Tier 1,"State Government scheme applicable to unemployed men and women residing in the Union Territory of Puducherry. Scheme period stated as 01-01-2021 to 31-12-2031. No income limit is prescribed in the provided source. Age is as per existing Bank norms, so no specific minimum or maximum age is recorded. Project cost is up to ₹2 lakh. Subsidy structure differs according to project cost. Disability is not specified as an eligibility requirement."
55,,Community Canning & Training on Fruit Preservation,State,Assam,"Directorate of Horticulture and Food Processing, Assam","A training scheme providing practical training in fruit and vegetable preservation and canning techniques for preparation of value-added products such as jam, jelly, pickles, squash, sauce and chutney.",Any,Not Specified,Not Specified,General,Not Specified,Farmer,Food Processing; Fruit Preservation; Canning,Not Specified,The scheme provides training through Community Canning and Training Centres in Assam. The official source particularly mentions dissemination of fruit-preservation techniques to women. Training is conducted at field level as well as at the centres.,"Training in preservation of locally available seasonal fruits and vegetables and preparation of value-added products including jam, jelly, pickles, squash, sauce and chutney. The training can support skill development and income-generating activities.","Training is conducted through Community Canning and Training Centres under the Directorate of Horticulture and Food Processing, Assam. The official source does not specify a detailed application procedure.",Not Specified,29-08-2026,https://dirhorti.assam.gov.in/sites/default/files/swf_utility_folder/departments/horticulture_medhassu_in_oid_5/portlet/level_1/files/Activities%20of%20DDA%28FP%29%2C%20Ulubari.pdf,Verified,Tier 1,"The office of Deputy Director of Agriculture (Fruit Preservation), Assam was created in 1978 and transferred to the Directorate of Horticulture and Food Processing in 2008. The scheme operates through Community Canning and Training Centres. The official Assam source states that there are 21 centres covering 19 districts. Training focuses on preservation of seasonal fruits and vegetables and preparation of value-added products. No specific age, income ceiling or disability eligibility is specified in the official source. Women are specifically mentioned as a target of the training outreach"
56,,Financial Assistance to Disabled Person for Self-Employment,State,Maharashtra,"Social Welfare Department, Government of Maharashtra","A Maharashtra State Government scheme providing financial assistance to unemployed persons with disabilities for self-employment, small-scale businesses and agro-based projects.",Any,18,50,Not Specified,100000,Entrepreneur,Self-Employment; Small-Scale Business; Agro-Based Project,Yes,"Applicant must have a minimum 40% disability, be a domicile of Maharashtra and be unemployed. The scheme covers persons with disabilities under the 21 disability categories recognised under the Rights of Persons with Disabilities Act, 2016, as stated in the source. Application is to be submitted in the prescribed format to the concerned District Social Welfare Officer, Zilla Parishad, or Assistant Commissioner Social Welfare Office for Mumbai Urban and Mumbai Suburban.","Financial assistance up to ₹1,50,000 is provided for self-employment. 80% of the amount is provided as a loan through a nationalized bank and 20% or up to ₹30,000, whichever is applicable, is provided as subsidy by the Social Welfare Department.","Submit the prescribed application form along with the necessary documents to the concerned District Social Welfare Officer, Zilla Parishad, or Assistant Commissioner Social Welfare Office for Mumbai Urban and Mumbai Suburban.","Submit the prescribed application form along with the necessary documents to the concerned District Social Welfare Officer, Zilla Parishad, or Assistant Commissioner Social Welfare Office for Mumbai Urban and Mumbai Suburban.",29-08-2026,https://depwd.maharashtra.gov.in/en/scheme/financial-assistance-to-disabled-person-for-self-employment/,Verified,Tier 1,"Maharashtra State Government scheme. Scheme date is stated as 01-12-2023 onwards in the source. Minimum disability requirement is 40%. Annual family income must be below ₹1 lakh. Age requirement is 18–50 years. Maximum financial assistance is ₹1.5 lakh, structured as 80% bank loan and 20% subsidy, with subsidy capped at ₹30,000. Disability status is Yes. Category is Not Specified because the source does not prescribe SC/ST/OBC/General/EWS as an eligibility category."
57,,Motorised Sewing Machines for Differently Abled Persons,State,Tamil Nadu,"Commissionerate for Welfare of Differently Abled, Tamil Nadu",Free motorised sewing machines are provided to eligible differently abled persons and mothers of severely intellectually disabled persons to support tailoring-related livelihood activities.,Any,18,Not Specified,Not Specified,Not Specified,Tailor,Tailoring,Yes,"Eligible persons must be hearing impaired, locomotor disabled or intellectually disabled and above 18 years of age. Mothers of severely intellectually disabled persons are also eligible. A National Identity Card for Differently Abled and Tailoring Certificate are required.",Motorised sewing machines are provided free of cost to eligible beneficiaries.,No prescribed application form is required. Application is to be submitted to the District Differently Abled Welfare Officer.,National Identity Card for Differently Abled; Tailoring Certificate,29-08-2026,https://www.scd.tn.gov.in/self_emp_sub_schemes.php,Verified,Tier 1,"The scheme provides motorised sewing machines free of cost. Eligible groups include hearing impaired persons, persons with locomotor disability, persons with intellectual disability above 18 years, and mothers of severely intellectually disabled persons. No prescribed application form is required. Income limit and maximum age are not specified in the provided sourc"
58,,Saksham,Central,All India,"National Backward Classes Finance and Development Corporation (NBCFDC), Ministry of Social Justice and Empowerment",Special term-loan scheme for young professionals belonging to Backward Classes for self-employment activities.,Any,Not Specified,Not Specified,OBC,103000,Entrepreneur / Young Professional,Professional Self-Employment Activities,Not Specified,"Applicant must belong to the Backward Classes target group and be a young professional. The source states that members of Backward Classes having annual family income less than double the poverty line are eligible, with the stated income limits being ₹81,000 per annum for rural areas and ₹1,03,000 per annum for urban areas.","Term loan assistance up to ₹10,00,000 per beneficiary. Loan up to ₹5,00,000 carries interest at 6% per annum, while loan above ₹5,00,000 and up to ₹10,00,000 carries interest at 8% per annum. NBCFDC finances 85% of the project cost.",Loan is provided through NBCFDC's implementing/channel partners under the term-loan framework. The applicant must submit the prescribed loan application and fulfil the requirements of the concerned implementing agency.,Not Specified,29-08-2026,https://socialjustice.gov.in/schemes/13?mid=32549,Need to be Verified,Tier 2,"This source describes Saksham as a special Term Loan scheme for young professionals belonging to Backward Classes. Maximum loan is ₹10 lakh per beneficiary. Interest is 6% p.a. for loans up to ₹5 lakh and 8% p.a. for the portion above ₹5 lakh up to ₹10 lakh. NBCFDC loan component is 85% of project cost. The source gives separate double-poverty-line income limits of ₹81,000 for rural areas and ₹1,03,000 for urban areas. Since the source does not provide a specific numerical age range for ""young professional"", min_age and max_age are kept as Not Specified. Documents and exact application procedure are also not specified in the provided source."
59,,Swarojgar Yojna (Self Employment Scheme),State,Himachal Pradesh,Not Specified,Provides bank financing with capital subsidy for setting up and expanding income-generating self-employment activities for eligible SC/ST families in Himachal Pradesh.,Any,18,55,SC / ST,50000,Self-Employed / Entrepreneur,Income-Generating Activities / Self-Employment,Not Specified,Applicant must be a member of an SC or ST family and a bona fide resident of Himachal Pradesh. Applicant must not be a defaulter of any financial institution or bank.,"Bank loan assistance up to ₹50,000. Capital subsidy of 50% of project cost, subject to a maximum of ₹10,000. After interest subsidy, the applicable interest rate is stated as 4% to 6%; interest subsidy is available only in case of regular repayment.",Financial assistance is provided through banks for setting up or expanding income-generating activities.,Not Specified,29-08-2026,https://hpscstdc.hp.gov.in/scheme/swarojgar-yojna,Need to be Verified,Tier 2,"The provided source specifies an annual income ceiling of ₹50,000 for both rural and urban areas. Age eligibility is 18–55 years. The scheme is specifically for SC/ST families who are bona fide residents of Himachal Pradesh. Maximum loan is ₹50,000 and capital subsidy is 50% of project cost subject to ₹10,000. Interest after interest subsidy is stated as 4%–6%, with the subsidy available for regular repayment. The provided source does not identify the implementing department or specify required documents."
60,,Gattai Stall Scheme,State,Maharashtra,Sant Rohidas Leather Industries & Charmakar Development Corporation Ltd. (LIDCOM),"Provides 100% subsidy for a tin stall to roadside cobblers from the Scheduled Caste Charmakar community in Maharashtra, supporting their footwear repair/business activities.",Any,Not Specified,Not Specified,SC,Not Specified,Cobbler / Gattai Worker,Roadside Footwear Repair / Cobbler Work,Not Specified,Applicant must be a Scheduled Caste cobbler worker. The scheme is implemented in Maharashtra through LIDCOM. application_process_summary: Contact the relevant department / LIDCOM.,"Free iron-sheet/tin stall of size 4 ft × 5 ft × 6.5 ft for eligible roadside cobblers, with ₹500 incidental/material assistance.",Contact the relevant department / LIDCOM.,Not Specified,29-08-2026,https://lidcom.maharashtra.gov.in/en/scheme/gattai-stall-scheme/,Verified,Tier 1,"Specifically targeted at roadside cobbler workers from the Scheduled Caste community. Official Maharashtra sources confirm 100% grant-based stall assistance. The LIDCOM scheme page states stall cost of ₹16,367 plus ₹500 incidental charges."
61,,Gatidhara Scheme,State,West Bengal,"Transport Department, Government of West Bengal", Provides financial assistance and subsidy to registered unemployed youth of West Bengal for purchasing commercial vehicles and starting self-employment in the transport sector.,Any,20,45,Any,300000,Unemployed Youth,Transport Service / Commercial Vehicle,Not Specified,Applicant must be an unemployed youth of West Bengal enrolled with the Employment Bank. More than one member of the same family is not eligible. Age relaxation is available for SC/ST and OBC applicants.,"State Government subsidy for purchase of a commercial vehicle, with the remaining project cost generally financed through a bank/financial institution.","Application is submitted through the prescribed Gatidhara process, with vehicle dealers acting as facilitators; the applicant selects a financier for the required vehicle loan.","Proof of Employment Bank enrolment, age proof, residential proof, bank account proof, family income certificate, vehicle quotation, self-declaration and application for offer letter. verification_status: Verified",29-08-2026,https://transport.wb.gov.in/wp-content/uploads/2016/12/GATIDHARA-SCHEME.pdf,Verified,Tier 1,"Official Transport Department FAQ states age as completed 20 years but below 45 years as on 1 April, with relaxation of 5 years for SC/ST and 3 years for OBC. Family income must not exceed ₹25,000 per month. Subsidy is 30% of project cost subject to ₹1 lakh maximum."
62,,Rajiv Gandhi Swavlamban Rozgar Yojna,State,Delhi,"Delhi Khadi & Village Industries Board, Government of NCT of Delhi","Provides financial assistance to unemployed youth, artisans, trained professionals, skilled technocrats and entrepreneurs in Delhi for setting up or expanding permissible industries, professions, trade, transportation and service-sector activities.",Any,18,50,Any,Not Specified,Unemployed Youth / Artisan / Trade Professional / Trained Professional / Skilled Technocrat / Entrepreneur,Manufacturing / Trade / Transportation / Professional / Service Sector,Not Specified,"School and college dropouts above 18 years, individual entrepreneurs, trade professionals, artisans, candidates passed from recognized technical/professional institutions and eligible small-scale industrial units can apply. Small-scale industrial units must be located in Delhi and meet the prescribed investment conditions. Weaker sections including SC/ST/OBC/Persons with Disabilities/Women/Ex-Servicemen require lower promoter contribution.","Provides financial assistance for establishing new enterprises or expanding existing trade, business, professional and service activities in Delhi.",Application can be submitted online through the Delhi Government e-District portal or offline to the Delhi Khadi & Village Industries Board using the prescribed application form.,"Identity proof, passport-size photographs, education proof, work-site/possession or rent documents, electricity bill, relevant business/industrial registration or NOC where applicable, prescribed declaration and surety/guarantor consent.",29-08-2026,https://dkvib.delhi.gov.in/dkvib/salient-features-rajiv-gandhi-swavlamban-rozgar-yojna,verified,Tier 1,"State Government self-employment scheme implemented by Delhi Khadi & Village Industries Board. Official scheme guidelines specify eligibility, sectors, age limit and application procedure."
63,,Financial Assistance to Ex-Convicts,State,Kerala,"Department of Social Justice, Government of Kerala",Provides financial assistance to economically poor persons released from jail to help them establish livelihood and pursue self-employment.,Any,Not Specified,Not Specified,Any,Not Specified,Ex-Convict,Self-Employment / Income-Generating Activity,Not Specified,"Applicant must be an eligible person released from jail and should satisfy the conditions prescribed by the Department of Social Justice, Government of Kerala.",Financial assistance is provided to eligible ex-convicts from poor economic conditions to support livelihood and self-employment.,"Application through the prescribed procedure of the Department of Social Justice, Government of Kerala.",Not Specified,29-08-2026,https://sjd.kerala.gov.in/,verified,Tier 1,"The scheme is implemented by the Department of Social Justice, Government of Kerala and is specifically intended to support eligible ex-convicts in establishing their livelihood."
64,,Jeevanam Self-Employment Scheme to Dependents of Crime Victims,State,Kerala,"Department of Social Justice, Government of Kerala",Financial assistance to dependents of crime victims for self-employment and livelihood.,Any,Not Specified,Not Specified,Any,Not Specified,Dependent of Crime Victim,Self-Employment,Not Specified,Applicant must be an eligible dependent of a crime victim.,Financial assistance for starting self-employment.,"Application through the Department of Social Justice, Kerala.",Not Specified,29-08-2026,https://sjd.kerala.gov.in/,Verified,Tier 1,Scheme specifically supports dependents of crime victims.
